0.000000000000000000e+00,6.860567888245418189e+00,0.000000000000000000e+00,4.263468729487416287e-01,0.000000000000000000e+00,2.978454205892074880e-01,0.000000000000000000e+00,5.435321642460889002e+00,0.000000000000000000e+00,-1.628380429786790984e-01,0.000000000000000000e+00,1.005457151099183433e+00,0.000000000000000000e+00,6.245662695114527985e+00,0.000000000000000000e+00,-2.607768158616227350e+00,0.000000000000000000e+00,1.902114862713754073e-01
5.877089277348841734e-02,7.508022378265104269e-02,3.771890749352622019e-03,8.457099181029947149e-03,-5.313688097573299879e-02,-2.355387364344913581e-01,8.642920720393194589e-01,5.475192799456883863e-01,1.416362935131411760e+00,-4.630023337357425106e-01,-6.507294238032079736e-02,-6.597964925063549702e-01,-1.255683567472351721e-02,1.336436412559805983e-02,-1.750413434142205835e-02,-1.532256895397938502e-02,-1.321791951253095954e-01,2.422551066888964204e-03
9.782891166461013532e-03,3.958577178648969158e-02,-7.989082840574326071e-04,3.426481884759749290e-03,1.818252108385974217e-02,-5.915403851478170938e-02,2.173748101191852466e-01,1.557685670572913350e-01,7.314805002649841237e-01,-1.185103068455948816e-01,1.236835395107556239e-02,-1.651936300818311332e-01,-6.278168974354230748e-03,2.202100654297857105e-02,-8.751720257552960888e-03,-1.167797523875476959e-02,-6.608697791285614298e-02,1.184435028792456225e-03
4.101731698771118179e-03,3.301272514256629875e-02,-8.640026213382157949e-04,2.494886092276793824e-03,1.764519491635618831e-02,-2.649020567617405009e-02,1.183958661523547701e-01,8.322213898779519392e-02,4.905011480218680608e-01,-5.471548726495852055e-02,1.378830462232707478e-02,-7.360050771763637645e-02,-4.185169462603881285e-03,2.362408846674986934e-02,-5.834094704488621691e-03,-1.100305047893834938e-02,-4.405507449170495415e-02,9.551542817653226047e-04
2.440884695314551531e-03,3.071215884322090611e-02,-7.349349502124820702e-04,2.168827568596705217e-03,1.468267055177553682e-02,-1.505786431200478899e-02,8.183016578351549886e-02,5.783088945074336268e-02,3.685976824644854322e-01,-3.238730066435288601e-02,1.179524827525099857e-02,-4.154291525286188391e-02,-3.138586741432018278e-03,2.418516713372135044e-02,-4.375166274957640634e-03,-1.076682681567520290e-02,-3.303824944914800221e-02,8.749060212137452263e-04
1.717324080234675782e-03,2.964732532751350111e-02,-6.200864300756380246e-04,2.017909055969813008e-03,1.228158912215569429e-02,-9.766323593944779141e-03,6.288001183249253279e-02,4.607836855167136286e-02,2.951229182261747575e-01,-2.205254028640892330e-02,9.973769076930864841e-03,-2.670482999571693883e-02,-2.510570729124424628e-03,2.444486639546914961e-02,-3.499716684570330916e-03,-1.065748900875473741e-02,-2.642745568048097612e-02,8.377625416118538153e-04
1.324463654428655263e-03,2.906889727521272393e-02,-5.312413704295196369e-04,1.935928633652976181e-03,1.047615252532417551e-02,-6.891906564367934925e-03,5.122631850276650883e-02,3.969428345950579834e-02,2.460266660850751741e-01,-1.643859667154220008e-02,8.554082961637433924e-03,-1.864463595735619747e-02,-2.091838063354657835e-03,2.458593759198933471e-02,-2.916006502750178794e-03,-1.059809563526765627e-02,-2.201967746565944989e-02,8.175858377000252454e-04
1.080061809774974938e-03,2.872012343481725530e-02,-4.628044391066552616e-04,1.886497029125770589e-03,9.103575292305285047e-03,-5.158723911277516595e-03,4.329816854576359203e-02,3.584488185085332734e-02,2.109092047178429130e-01,-1.305356604147212517e-02,7.456801311868490115e-03,-1.378459360995668015e-02,-1.792695873048387456e-03,2.467099906641982698e-02,-2.499004542866345175e-03,-1.056228330755890239e-02,-1.887076519453371320e-02,8.054199227139769834e-04
9.136391854629339086e-04,2.849375583058032929e-02,-4.091507358868060789e-04,1.854414021186647464e-03,8.035340334587843733e-03,-4.033821870351916340e-03,3.753625229619265979e-02,3.334647251228974041e-02,1.845461084635997839e-01,-1.085655128508020151e-02,6.594943687571487405e-03,-1.063023965549826470e-02,-1.568297721352554042e-03,2.472620722697806139e-02,-2.186195209765609115e-03,-1.053903973282142859e-02,-1.650864404815606534e-02,7.975237771039166580e-04
7.929147738200869244e-04,2.833855897969098786e-02,-3.662137658765339033e-04,1.832418021290744062e-03,7.184355503115562140e-03,-3.262592900108478994e-03,3.314960068501961177e-02,3.163357166286116101e-02,1.640267376855745196e-01,-9.350285524563170525e-03,5.904439979696128951e-03,-8.467625433482518435e-03,-1.393728919951456703e-03,2.476405775197375661e-02,-1.942847615618404711e-03,-1.052310401792645733e-02,-1.467105022588158399e-02,7.921102068318619169e-04
