metric,initial,final
QA ratio,8.5298812448186584e-04,7.9279392371971126e-04
Coil-match RMS,2.1906340329346796e-03,5.5065444435488534e-03
Normal RMS,1.3200069856527223e-03,4.5991538544606501e-07
Pressure RMS,4.9210746064690556e-03,7.1966103065934001e-09
Mean |K|,1.1043299565173486e+03,6.4590304784887962e+02
Mean R,1.4868604322983769e+00,1.4868485364923130e+00
Mean |B_total|,1.4782174889117341e+00,1.4781828012771374e+00
Mean |B_external|,1.4782805473037020e+00,1.4781828011040599e+00
