pressure_jump,nfev,cost,weighted_residual_norm,raw_residual_norm,coil_match_norm,normal_norm,pressure_norm
0.000000000000000000e+00,1.900000000000000000e+01,2.711690975578500556e-02,2.711690975578500556e-02,nan,nan,nan,nan
2.627681917442379927e+04,1.900000000000000000e+01,1.465931097104597181e-01,1.465931097104597181e-01,nan,nan,nan,nan
