pressure_jump,beta_jump,iota,G,I,lambda_current,major_radius,nonqs,residual_norm,raw_residual_norm,coil_match_norm,normal_norm,pressure_norm,sheet_current_norm,surface_rel_to_vacuum,field_rel_to_vacuum,lambda_minus_G,abs_I,vacuum_iota_error,vacuum_lambda_error
0.000000000000000000e+00,0.000000000000000000e+00,-4.267707375527459712e-01,6.943739468788618474e+00,-1.626254196381703565e+01,1.388411649716929652e+01,1.466626364623329959e+00,8.626434042211222463e-05,9.390416197394588216e-02,3.919793690791565505e-02,3.919793656789666292e-02,3.009340490471972956e-06,4.195230112523257193e-06,5.683603572644251472e+03,6.728492401870406724e-03,0.000000000000000000e+00,6.940377028380678048e+00,1.626254196381703565e+01,2.045882377786290007e-02,6.940377028380678048e+00
2.000000000000000096e-04,2.302851748102763817e-10,-4.267699189626169010e-01,6.943739468788618474e+00,-1.626257316308497280e+01,1.388411649972202078e+01,1.466626536012297644e+00,8.626353621529837053e-05,9.390420099192926806e-02,3.919795446848890058e-02,3.919795412847147664e-02,3.009314511985714208e-06,4.195235572523557790e-06,5.683544727675792274e+03,6.728383188952011262e-03,3.847670044423691059e-07,6.940377030933402303e+00,1.626257316308497280e+01,2.045800518773382981e-02,6.940377030933402303e+00
4.000000000000000192e-04,4.605703496205527633e-10,-4.267719783556057078e-01,6.943739468788618474e+00,-1.626249476706370345e+01,1.388411653352608077e+01,1.466626547187041885e+00,8.626304047418988769e-05,9.390424129567410960e-02,3.919708923441992537e-02,3.919708889435172261e-02,3.009275265995448459e-06,4.195667983926316844e-06,5.684038696536988027e+03,6.731091104171638140e-03,2.172182235136771436e-06,6.940377064737462298e+00,1.626249476706370345e+01,2.046006458072263667e-02,6.940377064737462298e+00
