pressure_jump,nfev,cost,weighted_residual_norm,raw_residual_norm,coil_match_norm,normal_norm,pressure_norm
0.000000000000000000e+00,1.000000000000000000e+00,5.927672094584799777e-04,3.443159042096312350e-02,6.970563558537865023e-02,2.408282123444840939e-02,9.904759528605946300e-03,6.465902174044776962e-02
8.702331762108229668e+03,1.000000000000000000e+00,2.991173281571388350e-03,7.734563053684918865e-02,1.666466606895914693e-01,2.408282123444840939e-02,9.904759528605946300e-03,1.645995837754820057e-01
1.740466352421645934e+04,1.000000000000000000e+00,1.029676341747069734e-02,1.435044488332727353e-01,3.123494935527024174e-01,2.408282123444840939e-02,9.904759528605946300e-03,3.112621396551462638e-01
2.610699528632469082e+04,1.000000000000000000e+00,2.250953761715641238e-02,2.121769903507748911e-01,4.628522069119637150e-01,2.408282123444840939e-02,9.904759528605946300e-03,4.621191176562006175e-01
