initial,final
9.785404159084448565e-05,9.785404159084448565e-05
4.562696088936255001e-01,4.562696088936255001e-01
4.562696088936255001e-01,4.562696088936255001e-01
1.517923711593211454e-02,1.517923711593211454e-02
9.938156413512600970e-03,9.938156413512600970e-03
4.559087406571855072e-01,4.559087406571855072e-01
9.130358799020375955e+03,9.130358799020375955e+03
1.467015278058382277e+00,1.467015278058382277e+00
