eval,J,J_nonqs,J_res,J_iota,J_mr,J_beta,J_surface_reg,weighted_residual_norm,iota,major_radius,target_plasma_beta,achieved_plasma_beta,reference_magnetic_pressure,pressure_jump,boozer_norm,normal_norm,pressure_norm,jump_norm,sheet_current_norm
3.500000000000000000e+01,2.247303657208087557e+00,2.434614812058281171e-03,1.676035886205992087e+00,1.798312238632453509e-05,5.687414629194623705e-01,1.187938563572769089e-05,6.183076255308745631e-05,1.830866399389093679e+00,-3.352635593727986141e-01,2.527961700595433125e+00,2.999999999999999889e-02,3.154138805209640017e-02,8.128649892511664657e+05,2.438594967753499441e+04,2.441466952796673041e-14,1.479827350758078586e+00,8.355078352445532985e-01,6.812557828050129771e-01,5.916434276814555051e+05
3.600000000000000000e+01,2.247303545578614781e+00,2.434615144425284448e-03,1.676035777844264274e+00,1.798276542265265005e-05,5.687414597413872341e-01,1.187931986991791594e-05,6.183076324530644352e-05,1.830866340203054943e+00,-3.352636188949510432e-01,2.527961697615601633e+00,2.999999999999999889e-02,3.154138378542904741e-02,8.128649890426718630e+05,2.438594967128015560e+04,1.974518071880149090e-14,1.479827456844605038e+00,8.355078087883758275e-01,6.812554257479377373e-01,5.916433569918686990e+05
3.700000000000000000e+01,1.087178191216687205e-02,1.188040672668704283e-04,1.074973926053135985e-02,7.585651029999286307e-08,1.423008506149932777e-10,3.162580250683241492e-06,5.306806272841139737e-12,1.466270047469521165e-01,-3.416502493340876079e-01,1.461416384588267725e+00,2.999999999999999889e-02,3.079530877659978488e-02,8.761104142585169757e+05,2.628331242775550709e+04,2.188704452508970605e-14,1.015869717801144191e-02,4.788840533445470199e-02,1.382135305504896827e-01,2.191699389164957101e+05
3.800000000000000000e+01,1.087178168458710452e-02,1.188040659758374197e-04,1.074973903400626950e-02,7.585738576861352118e-08,1.421314916264216476e-10,3.162579779657856641e-06,5.308077766988397980e-12,1.466270032020450809e-01,-3.416502515817335661e-01,1.461416394630234539e+00,2.999999999999999889e-02,3.079530871737430966e-02,8.761104015966864536e+05,2.628331204790059201e+04,2.093348256039392227e-14,1.015869688443274931e-02,4.788840406740279415e-02,1.382135293721273861e-01,2.191699133969916729e+05
3.900000000000000000e+01,1.087178182565789325e-02,1.188040073549419284e-04,1.074973923359767193e-02,7.585689480591090209e-08,1.423085866264860155e-10,3.162580194386860649e-06,5.307500457493133931e-12,1.466270045632636632e-01,-3.416502503212555664e-01,1.461416384129711643e+00,2.999999999999999889e-02,3.079530876952122839e-02,8.761104090281137032e+05,2.628331227084340935e+04,2.552524727257922340e-14,1.015871277961038870e-02,4.788840964017720275e-02,1.382135277170483956e-01,2.191699557380595070e+05
4.000000000000000000e+01,1.087178195168450080e-02,1.188040494491143551e-04,1.074973931307347634e-02,7.586294563879276395e-08,1.422944417294541655e-10,3.162578615036361899e-06,5.306792017832249172e-12,1.466270051052907253e-01,-3.416502658556371808e-01,1.461416384968167170e+00,2.999999999999999889e-02,3.079530857093789112e-02,8.761104136662115343e+05,2.628331240998634530e+04,2.257424286776847979e-14,1.015894956852458376e-02,4.788841583629150495e-02,1.382135087410110985e-01,2.191706073064954544e+05
4.100000000000000000e+01,1.087178193523178835e-02,1.188041023334982524e-04,1.074973923920695407e-02,7.586793826432456045e-08,1.423000562891542397e-10,3.162578146129067636e-06,5.306884611424264476e-12,1.466270046015191175e-01,-3.416502786728028984e-01,1.461416384635352506e+00,2.999999999999999889e-02,3.079530851197872371e-02,8.761104147752167191e+05,2.628331244325650187e+04,2.560949371670432892e-14,1.015891934912762327e-02,4.788841814890536230e-02,1.382135096264739682e-01,2.191705144164137891e+05
4.200000000000000000e+01,1.087178216144757577e-02,1.188040665857649064e-04,1.074973950360786842e-02,7.586534700427926288e-08,1.422186101066711568e-10,3.162578382936611493e-06,5.305391330610109593e-12,1.466270064047402455e-01,-3.416502720205221721e-01,1.461416389463887189e+00,2.999999999999999889e-02,3.079530854175428073e-02,8.761104149531086441e+05,2.628331244859325670e+04,2.340884580385824385e-14,1.015891769483887215e-02,4.788842078524914447e-02,1.382135107476115954e-01,2.191704555121402664e+05
4.300000000000000000e+01,1.087178213645909400e-02,1.188040999011790138e-04,1.074973945920567817e-02,7.585170482746577957e-08,1.421080607345608171e-10,3.162578234192752975e-06,5.305156322069153973e-12,1.466270061019161464e-01,-3.416502369964630748e-01,1.461416396020016162e+00,2.999999999999999889e-02,3.079530852305161978e-02,8.761104148643895751e+05,2.628331244593168594e+04,2.211285158997735584e-14,1.015891600755303506e-02,4.788841858590440342e-02,1.382135113124040582e-01,2.191704817374344857e+05
4.400000000000000000e+01,1.087178200011553429e-02,1.188041025692544641e-04,1.074973934485678149e-02,7.582456962313683810e-08,1.422635804630166036e-10,3.162580550959089871e-06,5.305333754992926919e-12,1.466270053220536940e-01,-3.416501673218971802e-01,1.461416386797649958e+00,2.999999999999999889e-02,3.079530881435566664e-02,8.761104140970768640e+05,2.628331242291230592e+04,1.913078091578698840e-14,1.015893626772332477e-02,4.788842795893773208e-02,1.382135057483295515e-01,2.191706061590144236e+05
4.500000000000000000e+01,1.087178191938962223e-02,1.188040729334825189e-04,1.074973928903798052e-02,7.582938001529450232e-08,1.422968368369461500e-10,3.162580435770502121e-06,5.305536550258694331e-12,1.466270049413680165e-01,-3.416501796743618424e-01,1.461416384826191406e+00,2.999999999999999889e-02,3.079530879987216196e-02,8.761104141146461479e+05,2.628331242343938356e+04,1.933952264002285829e-14,1.015893816405909200e-02,4.788842574914212169e-02,1.382135059707396418e-01,2.191705970913940982e+05
4.600000000000000000e+01,1.086864850028119653e-02,1.184615414492432592e-04,1.074683551167556796e-02,1.895285512458687450e-07,1.498450330743228142e-09,3.160349874299476035e-06,7.028050897070243079e-11,1.466071997664205318e-01,-3.418764219119106995e-01,1.461378510775088957e+00,2.999999999999999889e-02,3.079502828557221378e-02,8.760363269370659254e+05,2.628108980811197762e+04,2.331963934320554313e-14,1.010459463128657483e-02,4.786423306729035293e-02,1.382048602024133765e-01,2.192742670594660449e+05
4.700000000000000000e+01,1.086864829400494177e-02,1.184615401884576887e-04,1.074683533059378644e-02,1.895049822797907480e-07,1.497900644848044488e-09,3.160350053347652636e-06,7.028642420001200150e-11,1.466071985312712156e-01,-3.418763836292852409e-01,1.461378520817043558e+00,2.999999999999999889e-02,3.079502830809319538e-02,8.760363142781675560e+05,2.628108942834502523e+04,2.078004912686995756e-14,1.010467179074658883e-02,4.786421967364574981e-02,1.382048578893732005e-01,2.192742708687635022e+05
4.800000000000000000e+01,1.086864846215699308e-02,1.184614816281795885e-04,1.074683554714032582e-02,1.895143332456476039e-07,1.498475817923500768e-09,3.160350296392456161e-06,7.028303159107682204e-11,1.466072000083237792e-01,-3.418763988181669489e-01,1.461378510309520262e+00,2.999999999999999889e-02,3.079502833866377964e-02,8.760363217087686062e+05,2.628108965126305702e+04,1.972236285986379285e-14,1.010464720107140738e-02,4.786422695644131781e-02,1.382048587318289723e-01,2.192742609014582122e+05
4.900000000000000000e+01,1.086864846937006870e-02,1.184615236477082058e-04,1.074683551526640912e-02,1.895113121576341307e-07,1.498429677416826602e-09,3.160350434365042228e-06,7.027975021285352704e-11,1.466071997909134672e-01,-3.418763939110198158e-01,1.461378511152361614e+00,2.999999999999999889e-02,3.079502835601820310e-02,8.760363263454778353e+05,2.628108979036433448e+04,1.994235693613381464e-14,1.010465365976365854e-02,4.786423087203651311e-02,1.382048566729021655e-01,2.192742605953339662e+05
5.000000000000000000e+01,1.086864845678181014e-02,1.184615764937758291e-04,1.074683543423941325e-02,1.895275404888709157e-07,1.498447817987279048e-09,3.160349780135708438e-06,7.028017873450195375e-11,1.466071992382325939e-01,-3.418764202702060939e-01,1.461378510820989129e+00,2.999999999999999889e-02,3.079502827372813598e-02,8.760363274534938391e+05,2.628108982360481241e+04,2.153671708033825090e-14,1.010462729463902642e-02,4.786423359592126281e-02,1.382048570709088764e-01,2.192742120348304161e+05
5.100000000000000000e+01,1.086864867867615679e-02,1.184615407928533455e-04,1.074683570137204697e-02,1.895177490585849340e-07,1.498182193389143354e-09,3.160350306004913848e-06,7.027400050550716085e-11,1.466072010603302334e-01,-3.418764043664178631e-01,1.461378515673334766e+00,2.999999999999999889e-02,3.079502833987285068e-02,8.760363276306912303e+05,2.628108982892073618e+04,2.604563162112569274e-14,1.010467064150393814e-02,4.786421238033554404e-02,1.382048631820927131e-01,2.192742389639076719e+05
5.200000000000000000e+01,1.086864862838960236e-02,1.184615739514080236e-04,1.074683563095579601e-02,1.895056603831764109e-07,1.497823600095262269e-09,3.160349724252849080e-06,7.027416289429165484e-11,1.466072005800246880e-01,-3.418763847307489945e-01,1.461378522224685339e+00,2.999999999999999889e-02,3.079502826669909543e-02,8.760363275409550406e+05,2.628108982622865005e+04,2.211485469583297791e-14,1.010461396501481299e-02,4.786421950838769951e-02,1.382048643477590821e-01,2.192742096981964714e+05
5.300000000000000000e+01,1.086864851211752012e-02,1.184615765524393930e-04,1.074683549370315967e-02,1.895235312159077086e-07,1.498329248024703558e-09,3.160349724508185468e-06,7.027694700590930442e-11,1.466071996438316760e-01,-3.418764137581705720e-01,1.461378512986934330e+00,2.999999999999999889e-02,3.079502826673121210e-02,8.760363267752786633e+05,2.628108980325835728e+04,2.005768151035808712e-14,1.010462017657258807e-02,4.786421638794718242e-02,1.382048639811974677e-01,2.192742292101517669e+05
5.400000000000000000e+01,1.086864846929251789e-02,1.184615470489401942e-04,1.074683547841635660e-02,1.895253861359082317e-07,1.498437317788426031e-09,3.160349725046773062e-06,7.027872250984087514e-11,1.466071995395611949e-01,-3.418764167710208746e-01,1.461378511012795256e+00,2.999999999999999889e-02,3.079502826679895652e-02,8.760363267933414318e+05,2.628108980380024150e+04,1.825316894841041702e-14,1.010462300996427774e-02,4.786421501523076966e-02,1.382048641388390897e-01,2.192742325684977986e+05
5.500000000000000000e+01,1.086868345132814898e-02,1.178344368843091221e-04,1.074702761701333553e-02,6.660176707511292260e-07,3.726276230493173805e-09,3.150814034520649822e-06,8.394490023772761590e-10,1.466085101009715341e-01,-3.424148841320683312e-01,1.461346926563316551e+00,2.999999999999999889e-02,3.079382794540386908e-02,8.757479182607876137e+05,2.627243754782362885e+04,2.420586966495881188e-14,1.075300042898906343e-02,4.783485858787540901e-02,1.381674872018695821e-01,2.195092319379991095e+05
